model,acc,f1,P,neg,L
RGCN_GAE,0.935,0.9664082687338501,0.01,,5.0
RLP_PUL,0.79,0.88268156424581,0.01,,
GCN_GAE,0.87,0.93048128342246,0.01,,
CCRNE,0.82,0.9010989010989011,0.02,200.0,
MCLS,0.905,0.9501312335958005,0.02,200.0,
LP_PUL,0.765,0.8668555240793201,0.02,200.0,
PU_LP,0.7222222222222222,0.8387096774193549,0.02,18.0,
RCSVM,,0.0,0.02,0.0,
RANDOM,0.815,0.8980716253443526,0.02,,
RGCN_GAE,0.975,0.9873417721518988,0.02,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.02,,3.0
RGCN_GAE,0.93,0.9637305699481865,0.02,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.02,,5.0
RLP_PUL,0.77,0.8700564971751412,0.02,,
GCN_GAE,0.87,0.93048128342246,0.02,,
CCRNE,0.795,0.8857938718662952,0.03,200.0,
MCLS,0.86,0.9247311827956989,0.03,200.0,
LP_PUL,0.79,0.88268156424581,0.03,200.0,
PU_LP,0.8148148148148148,0.8979591836734694,0.03,27.0,
RCSVM,,0.0,0.03,0.0,
RANDOM,0.825,0.9041095890410958,0.03,,
RGCN_GAE,0.985,0.9924433249370277,0.03,,2.0
RGCN_GAE,0.97,0.9847715736040609,0.03,,3.0
RGCN_GAE,0.955,0.9769820971867008,0.03,,4.0
RGCN_GAE,0.975,0.9873417721518988,0.03,,5.0
RLP_PUL,0.79,0.88268156424581,0.03,,
GCN_GAE,0.875,0.9333333333333333,0.03,,
CCRNE,0.845,0.9159891598915989,0.04,200.0,
MCLS,0.86,0.9247311827956989,0.04,200.0,
LP_PUL,0.785,0.8795518207282913,0.04,200.0,
PU_LP,0.7777777777777778,0.875,0.04,36.0,
RCSVM,,0.0,0.04,0.0,
RANDOM,0.785,0.8795518207282913,0.04,,
RGCN_GAE,0.975,0.9873417721518988,0.04,,2.0
RGCN_GAE,0.98,0.98989898989899,0.04,,3.0
RGCN_GAE,0.98,0.98989898989899,0.04,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.04,,5.0
RLP_PUL,0.79,0.88268156424581,0.04,,
GCN_GAE,0.93,0.9637305699481865,0.04,,
CCRNE,0.79,0.88268156424581,0.05,200.0,
MCLS,0.85,0.918918918918919,0.05,200.0,
LP_PUL,0.805,0.8919667590027701,0.05,200.0,
PU_LP,0.8,0.8888888888888888,0.05,45.0,
RCSVM,,0.0,0.05,0.0,
RANDOM,0.765,0.8668555240793201,0.05,,
RGCN_GAE,0.96,0.9795918367346939,0.05,,2.0
RGCN_GAE,0.97,0.9847715736040609,0.05,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.05,,4.0
RGCN_GAE,0.99,0.9949748743718593,0.05,,5.0
RLP_PUL,0.805,0.8919667590027701,0.05,,
GCN_GAE,0.86,0.9247311827956989,0.05,,
CCRNE,0.815,0.8980716253443526,0.06,200.0,
MCLS,0.86,0.9247311827956989,0.06,200.0,
LP_PUL,0.855,0.921832884097035,0.06,200.0,
PU_LP,0.8518518518518519,0.92,0.06,54.0,
RCSVM,,0.0,0.06,0.0,
RANDOM,0.78,0.8764044943820225,0.06,,
RGCN_GAE,0.99,0.9949748743718593,0.06,,2.0
RGCN_GAE,0.95,0.9743589743589743,0.06,,3.0
RGCN_GAE,0.97,0.9847715736040609,0.06,,4.0
RGCN_GAE,0.985,0.9924433249370277,0.06,,5.0
RLP_PUL,0.855,0.921832884097035,0.06,,
GCN_GAE,0.87,0.93048128342246,0.06,,
CCRNE,0.815,0.8980716253443526,0.07,200.0,
MCLS,0.865,0.9276139410187667,0.07,200.0,
LP_PUL,0.865,0.9276139410187667,0.07,200.0,
PU_LP,0.8253968253968254,0.9043478260869565,0.07,63.0,
RCSVM,,0.0,0.07,0.0,
RANDOM,0.815,0.8980716253443526,0.07,,
RGCN_GAE,0.975,0.9873417721518988,0.07,,2.0
RGCN_GAE,0.98,0.98989898989899,0.07,,3.0
RGCN_GAE,0.95,0.9743589743589743,0.07,,4.0
RGCN_GAE,0.965,0.9821882951653944,0.07,,5.0
RLP_PUL,0.865,0.9276139410187667,0.07,,
GCN_GAE,0.89,0.9417989417989417,0.07,,
CCRNE,0.815,0.8980716253443526,0.08,200.0,
MCLS,0.89,0.9417989417989417,0.08,200.0,
LP_PUL,0.86,0.9247311827956989,0.08,200.0,
PU_LP,0.7638888888888888,0.8661417322834646,0.08,72.0,
RCSVM,,0.0,0.08,0.0,
RANDOM,0.76,0.8636363636363636,0.08,,
RGCN_GAE,0.955,0.9769820971867008,0.08,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.08,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.08,,4.0
RGCN_GAE,0.945,0.9717223650385605,0.08,,5.0
RLP_PUL,0.865,0.9276139410187667,0.08,,
GCN_GAE,0.855,0.921832884097035,0.08,,
CCRNE,0.835,0.9100817438692098,0.09,200.0,
MCLS,0.875,0.9333333333333333,0.09,200.0,
LP_PUL,0.865,0.9276139410187667,0.09,200.0,
PU_LP,0.7407407407407407,0.851063829787234,0.09,81.0,
RCSVM,,0.0,0.09,0.0,
RANDOM,0.76,0.8636363636363636,0.09,,
RGCN_GAE,0.99,0.9949748743718593,0.09,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.09,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.09,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.09,,5.0
RLP_PUL,0.865,0.9276139410187667,0.09,,
GCN_GAE,0.85,0.918918918918919,0.09,,
CCRNE,0.835,0.9100817438692098,0.1,200.0,
MCLS,0.87,0.93048128342246,0.1,200.0,
LP_PUL,0.9,0.9473684210526315,0.1,200.0,
PU_LP,0.7802197802197802,0.8765432098765432,0.1,91.0,
RCSVM,,0.0,0.1,0.0,
RANDOM,0.775,0.8732394366197183,0.1,,
RGCN_GAE,0.995,0.9974937343358395,0.1,,2.0
RGCN_GAE,0.995,0.9974937343358395,0.1,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.1,,4.0
RGCN_GAE,0.95,0.9743589743589743,0.1,,5.0
RLP_PUL,0.905,0.9501312335958005,0.1,,
GCN_GAE,0.975,0.9873417721518988,0.1,,
CCRNE,0.81,0.8950276243093923,0.11,200.0,
MCLS,0.895,0.9445910290237467,0.11,200.0,
LP_PUL,0.87,0.93048128342246,0.11,200.0,
PU_LP,0.77,0.8700564971751412,0.11,100.0,
RCSVM,,0.0,0.11,0.0,
RANDOM,0.765,0.8668555240793201,0.11,,
RGCN_GAE,0.99,0.9949748743718593,0.11,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.11,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.11,,4.0
RGCN_GAE,0.98,0.98989898989899,0.11,,5.0
RLP_PUL,0.875,0.9333333333333333,0.11,,
GCN_GAE,0.875,0.9333333333333333,0.11,,
CCRNE,0.82,0.9010989010989011,0.12,200.0,
MCLS,0.93,0.9637305699481865,0.12,200.0,
LP_PUL,0.905,0.9501312335958005,0.12,200.0,
PU_LP,0.7522935779816514,0.8586387434554974,0.12,109.0,
RCSVM,,0.0,0.12,0.0,
RANDOM,0.795,0.8857938718662952,0.12,,
RGCN_GAE,0.985,0.9924433249370277,0.12,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.12,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.12,,4.0
RGCN_GAE,0.96,0.9795918367346939,0.12,,5.0
RLP_PUL,0.905,0.9501312335958005,0.12,,
GCN_GAE,0.915,0.9556135770234987,0.12,,
CCRNE,0.805,0.8919667590027701,0.13,200.0,
MCLS,0.955,0.9769820971867008,0.13,200.0,
LP_PUL,0.935,0.9664082687338501,0.13,200.0,
PU_LP,0.7542372881355932,0.8599033816425121,0.13,118.0,
RCSVM,,0.0,0.13,0.0,
RANDOM,0.795,0.8857938718662952,0.13,,
RGCN_GAE,0.99,0.9949748743718593,0.13,,2.0
RGCN_GAE,0.97,0.9847715736040609,0.13,,3.0
RGCN_GAE,0.975,0.9873417721518988,0.13,,4.0
RGCN_GAE,0.97,0.9847715736040609,0.13,,5.0
RLP_PUL,0.94,0.9690721649484536,0.13,,
GCN_GAE,0.865,0.9276139410187667,0.13,,
CCRNE,0.85,0.918918918918919,0.14,200.0,
MCLS,0.85,0.918918918918919,0.14,200.0,
LP_PUL,0.895,0.9445910290237467,0.14,200.0,
PU_LP,0.8503937007874016,0.9191489361702128,0.14,127.0,
RCSVM,,0.0,0.14,0.0,
RANDOM,0.735,0.8472622478386167,0.14,,
RGCN_GAE,0.99,0.9949748743718593,0.14,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.14,,3.0
RGCN_GAE,0.985,0.9924433249370277,0.14,,4.0
RGCN_GAE,0.98,0.98989898989899,0.14,,5.0
RLP_PUL,0.9,0.9473684210526315,0.14,,
GCN_GAE,0.91,0.9528795811518325,0.14,,
CCRNE,0.8,0.8888888888888888,0.15,200.0,
MCLS,0.815,0.8980716253443526,0.15,200.0,
LP_PUL,0.89,0.9417989417989417,0.15,200.0,
PU_LP,0.7941176470588235,0.8852459016393442,0.15,136.0,
RCSVM,,0.0,0.15,0.0,
RANDOM,0.78,0.8764044943820225,0.15,,
RGCN_GAE,0.995,0.9974937343358395,0.15,,2.0
RGCN_GAE,0.975,0.9873417721518988,0.15,,3.0
RGCN_GAE,0.98,0.98989898989899,0.15,,4.0
RGCN_GAE,0.98,0.98989898989899,0.15,,5.0
RLP_PUL,0.89,0.9417989417989417,0.15,,
