model,acc,f1,P,neg,L
CCRNE,0.525,0.6885245901639344,0.2,200.0,
MCLS,0.53,0.6928104575163399,0.2,200.0,
LP_PUL,0.535,0.6970684039087948,0.2,200.0,
PU_LP,0.5666666666666667,0.723404255319149,0.2,270.0,
RCSVM,0.38188976377952755,0.5527065527065527,0.2,508.0,
RANDOM,0.5,0.6666666666666666,0.2,,
RGCN_GAE,0.62,0.7654320987654321,0.2,,2.0
RGCN_GAE,0.6,0.75,0.2,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.2,,4.0
RGCN_GAE,0.56,0.717948717948718,0.2,,5.0
RLP_PUL,0.595,0.7460815047021944,0.2,,
GCN_GAE,0.535,0.6970684039087948,0.2,,
CCRNE,0.5,0.6666666666666666,0.21,200.0,
MCLS,0.525,0.6885245901639344,0.21,200.0,
LP_PUL,0.555,0.7138263665594855,0.21,200.0,
PU_LP,0.5633802816901409,0.7207207207207207,0.21,284.0,
RCSVM,0.4198717948717949,0.5914221218961625,0.21,312.0,
RANDOM,0.53,0.6928104575163399,0.21,,
RGCN_GAE,0.615,0.7616099071207431,0.21,,2.0
RGCN_GAE,0.57,0.7261146496815286,0.21,,3.0
RGCN_GAE,0.59,0.7421383647798742,0.21,,4.0
RGCN_GAE,0.545,0.7055016181229773,0.21,,5.0
RLP_PUL,0.59,0.7421383647798742,0.21,,
GCN_GAE,0.52,0.6842105263157895,0.21,,
CCRNE,0.545,0.7055016181229773,0.22,200.0,
MCLS,0.54,0.7012987012987013,0.22,200.0,
LP_PUL,0.575,0.7301587301587301,0.22,200.0,
PU_LP,0.5420875420875421,0.7030567685589519,0.22,297.0,
RCSVM,0.4048140043763676,0.5763239875389408,0.22,457.0,
RANDOM,0.5,0.6666666666666666,0.22,,
RGCN_GAE,0.575,0.7301587301587301,0.22,,2.0
RGCN_GAE,0.595,0.7460815047021944,0.22,,3.0
RGCN_GAE,0.575,0.7301587301587301,0.22,,4.0
RGCN_GAE,0.55,0.7096774193548387,0.22,,5.0
RLP_PUL,0.57,0.7261146496815286,0.22,,
GCN_GAE,0.495,0.6622073578595318,0.22,,
CCRNE,0.52,0.6842105263157895,0.23,200.0,
MCLS,0.53,0.6928104575163399,0.23,200.0,
LP_PUL,0.53,0.6928104575163399,0.23,200.0,
PU_LP,0.5512820512820513,0.7107438016528925,0.23,312.0,
RCSVM,0.37267080745341613,0.5429864253393665,0.23,644.0,
RANDOM,0.47,0.6394557823129252,0.23,,
RGCN_GAE,0.58,0.7341772151898734,0.23,,2.0
RGCN_GAE,0.61,0.7577639751552795,0.23,,3.0
RGCN_GAE,0.575,0.7301587301587301,0.23,,4.0
RGCN_GAE,0.56,0.717948717948718,0.23,,5.0
RLP_PUL,0.605,0.7538940809968847,0.23,,
GCN_GAE,0.52,0.6842105263157895,0.23,,
CCRNE,0.56,0.717948717948718,0.24,200.0,
MCLS,0.535,0.6970684039087948,0.24,200.0,
LP_PUL,0.56,0.717948717948718,0.24,200.0,
PU_LP,0.56,0.717948717948718,0.24,325.0,
RCSVM,0.3473053892215569,0.5155555555555555,0.24,501.0,
RANDOM,0.41,0.5815602836879432,0.24,,
RGCN_GAE,0.625,0.7692307692307693,0.24,,2.0
RGCN_GAE,0.58,0.7341772151898734,0.24,,3.0
RGCN_GAE,0.57,0.7261146496815286,0.24,,4.0
RGCN_GAE,0.545,0.7055016181229773,0.24,,5.0
RLP_PUL,0.615,0.7616099071207431,0.24,,
GCN_GAE,0.485,0.6531986531986532,0.24,,
CCRNE,0.575,0.7301587301587301,0.25,200.0,
MCLS,0.525,0.6885245901639344,0.25,200.0,
LP_PUL,0.54,0.7012987012987013,0.25,200.0,
PU_LP,0.5545722713864307,0.713472485768501,0.25,339.0,
RCSVM,0.35864978902953587,0.5279503105590062,0.25,474.0,
RANDOM,0.47,0.6394557823129252,0.25,,
RGCN_GAE,0.625,0.7692307692307693,0.25,,2.0
RGCN_GAE,0.57,0.7261146496815286,0.25,,3.0
RGCN_GAE,0.625,0.7692307692307693,0.25,,4.0
RGCN_GAE,0.535,0.6970684039087948,0.25,,5.0
RLP_PUL,0.615,0.7616099071207431,0.25,,
GCN_GAE,0.55,0.7096774193548387,0.25,,
CCRNE,0.5,0.6666666666666666,0.01,200.0,
MCLS,0.52,0.6842105263157895,0.01,200.0,
LP_PUL,0.46,0.6301369863013698,0.01,200.0,
PU_LP,0.38461538461538464,0.5555555555555556,0.01,13.0,
RCSVM,0.43004587155963303,0.6014434643143545,0.01,872.0,
RANDOM,0.515,0.6798679867986799,0.01,,
RGCN_GAE,0.465,0.6348122866894198,0.01,,2.0
RGCN_GAE,0.49,0.6577181208053692,0.01,,3.0
RGCN_GAE,0.47,0.6394557823129252,0.01,,4.0
RGCN_GAE,0.48,0.6486486486486487,0.01,,5.0
RLP_PUL,0.435,0.6062717770034843,0.01,,
GCN_GAE,0.46,0.6301369863013698,0.01,,
CCRNE,0.475,0.6440677966101694,0.02,200.0,
MCLS,0.515,0.6798679867986799,0.02,200.0,
LP_PUL,0.485,0.6531986531986532,0.02,200.0,
PU_LP,0.5,0.6666666666666666,0.02,26.0,
RCSVM,0.5125,0.6776859504132231,0.02,480.0,
RANDOM,0.42,0.5915492957746479,0.02,,
RGCN_GAE,0.485,0.6531986531986532,0.02,,2.0
RGCN_GAE,0.505,0.6710963455149501,0.02,,3.0
RGCN_GAE,0.46,0.6301369863013698,0.02,,4.0
RGCN_GAE,0.525,0.6885245901639344,0.02,,5.0
RLP_PUL,0.49,0.6577181208053692,0.02,,
GCN_GAE,0.475,0.6440677966101694,0.02,,
CCRNE,0.465,0.6348122866894198,0.03,200.0,
MCLS,0.51,0.6754966887417219,0.03,200.0,
LP_PUL,0.47,0.6394557823129252,0.03,200.0,
PU_LP,0.4,0.5714285714285714,0.03,40.0,
RCSVM,0.34048257372654156,0.508,0.03,746.0,
RANDOM,0.56,0.717948717948718,0.03,,
RGCN_GAE,0.545,0.7055016181229773,0.03,,2.0
RGCN_GAE,0.56,0.717948717948718,0.03,,3.0
RGCN_GAE,0.595,0.7460815047021944,0.03,,4.0
RGCN_GAE,0.54,0.7012987012987013,0.03,,5.0
RLP_PUL,0.49,0.6577181208053692,0.03,,
GCN_GAE,0.44,0.6111111111111112,0.03,,
CCRNE,0.555,0.7138263665594855,0.04,200.0,
MCLS,0.575,0.7301587301587301,0.04,200.0,
LP_PUL,0.5,0.6666666666666666,0.04,200.0,
PU_LP,0.4339622641509434,0.6052631578947368,0.04,53.0,
RCSVM,0.3792134831460674,0.5498981670061099,0.04,356.0,
RANDOM,0.465,0.6348122866894198,0.04,,
RGCN_GAE,0.53,0.6928104575163399,0.04,,2.0
RGCN_GAE,0.53,0.6928104575163399,0.04,,3.0
RGCN_GAE,0.525,0.6885245901639344,0.04,,4.0
RGCN_GAE,0.56,0.717948717948718,0.04,,5.0
RLP_PUL,0.475,0.6440677966101694,0.04,,
GCN_GAE,0.5,0.6666666666666666,0.04,,
CCRNE,0.455,0.6254295532646048,0.05,200.0,
MCLS,0.48,0.6486486486486487,0.05,200.0,
LP_PUL,0.485,0.6531986531986532,0.05,200.0,
PU_LP,0.47761194029850745,0.6464646464646465,0.05,67.0,
RCSVM,0.39438339438339437,0.5656742556917689,0.05,819.0,
RANDOM,0.495,0.6622073578595318,0.05,,
RGCN_GAE,0.595,0.7460815047021944,0.05,,2.0
RGCN_GAE,0.565,0.7220447284345048,0.05,,3.0
RGCN_GAE,0.58,0.7341772151898734,0.05,,4.0
RGCN_GAE,0.63,0.7730061349693251,0.05,,5.0
RLP_PUL,0.51,0.6754966887417219,0.05,,
GCN_GAE,0.455,0.6254295532646048,0.05,,
CCRNE,0.515,0.6798679867986799,0.06,200.0,
MCLS,0.54,0.7012987012987013,0.06,200.0,
LP_PUL,0.48,0.6486486486486487,0.06,200.0,
PU_LP,0.4625,0.6324786324786325,0.06,80.0,
RCSVM,0.415625,0.58719646799117,0.06,320.0,
RANDOM,0.49,0.6577181208053692,0.06,,
RGCN_GAE,0.54,0.7012987012987013,0.06,,2.0
RGCN_GAE,0.565,0.7220447284345048,0.06,,3.0
RGCN_GAE,0.575,0.7301587301587301,0.06,,4.0
RGCN_GAE,0.58,0.7341772151898734,0.06,,5.0
RLP_PUL,0.475,0.6440677966101694,0.06,,
GCN_GAE,0.47,0.6394557823129252,0.06,,
CCRNE,0.5,0.6666666666666666,0.07,200.0,
MCLS,0.55,0.7096774193548387,0.07,200.0,
LP_PUL,0.475,0.6440677966101694,0.07,200.0,
PU_LP,0.4574468085106383,0.6277372262773723,0.07,94.0,
RCSVM,0.38724373576309795,0.5582922824302134,0.07,439.0,
RANDOM,0.48,0.6486486486486487,0.07,,
RGCN_GAE,0.53,0.6928104575163399,0.07,,2.0
RGCN_GAE,0.565,0.7220447284345048,0.07,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.07,,4.0
RGCN_GAE,0.555,0.7138263665594855,0.07,,5.0
RLP_PUL,0.51,0.6754966887417219,0.07,,
GCN_GAE,0.49,0.6577181208053692,0.07,,
CCRNE,0.51,0.6754966887417219,0.08,200.0,
MCLS,0.505,0.6710963455149501,0.08,200.0,
LP_PUL,0.515,0.6798679867986799,0.08,200.0,
PU_LP,0.48598130841121495,0.6540880503144654,0.08,107.0,
RCSVM,0.3776595744680851,0.5482625482625483,0.08,376.0,
RANDOM,0.465,0.6348122866894198,0.08,,
RGCN_GAE,0.58,0.7341772151898734,0.08,,2.0
RGCN_GAE,0.58,0.7341772151898734,0.08,,3.0
RGCN_GAE,0.55,0.7096774193548387,0.08,,4.0
RGCN_GAE,0.56,0.717948717948718,0.08,,5.0
RLP_PUL,0.515,0.6798679867986799,0.08,,
GCN_GAE,0.51,0.6754966887417219,0.08,,
CCRNE,0.5,0.6666666666666666,0.09,200.0,
MCLS,0.535,0.6970684039087948,0.09,200.0,
LP_PUL,0.515,0.6798679867986799,0.09,200.0,
PU_LP,0.5166666666666667,0.6813186813186813,0.09,120.0,
RCSVM,0.3108728943338438,0.4742990654205608,0.09,653.0,
RANDOM,0.48,0.6486486486486487,0.09,,
RGCN_GAE,0.61,0.7577639751552795,0.09,,2.0
RGCN_GAE,0.595,0.7460815047021944,0.09,,3.0
RGCN_GAE,0.605,0.7538940809968847,0.09,,4.0
RGCN_GAE,0.605,0.7538940809968847,0.09,,5.0
RLP_PUL,0.505,0.6710963455149501,0.09,,
GCN_GAE,0.535,0.6970684039087948,0.09,,
CCRNE,0.495,0.6622073578595318,0.1,200.0,
MCLS,0.505,0.6710963455149501,0.1,200.0,
LP_PUL,0.515,0.6798679867986799,0.1,200.0,
PU_LP,0.48148148148148145,0.65,0.1,135.0,
RCSVM,0.4050925925925926,0.5766062602965404,0.1,864.0,
RANDOM,0.475,0.6440677966101694,0.1,,
RGCN_GAE,0.535,0.6970684039087948,0.1,,2.0
RGCN_GAE,0.55,0.7096774193548387,0.1,,3.0
RGCN_GAE,0.52,0.6842105263157895,0.1,,4.0
RGCN_GAE,0.495,0.6622073578595318,0.1,,5.0
RLP_PUL,0.505,0.6710963455149501,0.1,,
GCN_GAE,0.475,0.6440677966101694,0.1,,
CCRNE,0.515,0.6798679867986799,0.11,200.0,
MCLS,0.555,0.7138263665594855,0.11,200.0,
LP_PUL,0.5,0.6666666666666666,0.11,200.0,
PU_LP,0.527027027027027,0.6902654867256637,0.11,148.0,
RCSVM,0.4072727272727273,0.5788113695090439,0.11,275.0,
RANDOM,0.445,0.615916955017301,0.11,,
RGCN_GAE,0.58,0.7341772151898734,0.11,,2.0
RGCN_GAE,0.53,0.6928104575163399,0.11,,3.0
RGCN_GAE,0.54,0.7012987012987013,0.11,,4.0
RGCN_GAE,0.5,0.6666666666666666,0.11,,5.0
RLP_PUL,0.46,0.6301369863013698,0.11,,
GCN_GAE,0.48,0.6486486486486487,0.11,,
CCRNE,0.465,0.6348122866894198,0.12,200.0,
MCLS,0.465,0.6348122866894198,0.12,200.0,
LP_PUL,0.505,0.6710963455149501,0.12,200.0,
PU_LP,0.47530864197530864,0.6443514644351465,0.12,162.0,
RCSVM,0.37072243346007605,0.5409153952843273,0.12,526.0,
RANDOM,0.45,0.6206896551724138,0.12,,
RGCN_GAE,0.58,0.7341772151898734,0.12,,2.0
RGCN_GAE,0.64,0.7804878048780488,0.12,,3.0
RGCN_GAE,0.6,0.75,0.12,,4.0
RGCN_GAE,0.575,0.7301587301587301,0.12,,5.0
RLP_PUL,0.535,0.6970684039087948,0.12,,
GCN_GAE,0.46,0.6301369863013698,0.12,,
CCRNE,0.51,0.6754966887417219,0.13,200.0,
MCLS,0.535,0.6970684039087948,0.13,200.0,
LP_PUL,0.51,0.6754966887417219,0.13,200.0,
PU_LP,0.5028571428571429,0.6692015209125475,0.13,175.0,
RCSVM,0.3230452674897119,0.48833592534992226,0.13,486.0,
RANDOM,0.545,0.7055016181229773,0.13,,
RGCN_GAE,0.535,0.6970684039087948,0.13,,2.0
RGCN_GAE,0.58,0.7341772151898734,0.13,,3.0
RGCN_GAE,0.53,0.6928104575163399,0.13,,4.0
RGCN_GAE,0.485,0.6531986531986532,0.13,,5.0
RLP_PUL,0.565,0.7220447284345048,0.13,,
GCN_GAE,0.47,0.6394557823129252,0.13,,
CCRNE,0.505,0.6710963455149501,0.14,200.0,
MCLS,0.525,0.6885245901639344,0.14,200.0,
LP_PUL,0.525,0.6885245901639344,0.14,200.0,
PU_LP,0.49206349206349204,0.6595744680851063,0.14,189.0,
RCSVM,0.36824324324324326,0.5382716049382716,0.14,592.0,
RANDOM,0.475,0.6440677966101694,0.14,,
RGCN_GAE,0.56,0.717948717948718,0.14,,2.0
RGCN_GAE,0.555,0.7138263665594855,0.14,,3.0
RGCN_GAE,0.51,0.6754966887417219,0.14,,4.0
RGCN_GAE,0.525,0.6885245901639344,0.14,,5.0
RLP_PUL,0.565,0.7220447284345048,0.14,,
GCN_GAE,0.485,0.6531986531986532,0.14,,
CCRNE,0.505,0.6710963455149501,0.15,200.0,
MCLS,0.535,0.6970684039087948,0.15,200.0,
LP_PUL,0.525,0.6885245901639344,0.15,200.0,
PU_LP,0.5099009900990099,0.6754098360655738,0.15,202.0,
