model,acc,f1,P,neg,L
LP_PUL,0.84,0.9130434782608695,0.13,200.0,
PU_LP,0.708029197080292,0.8290598290598291,0.13,137.0,
RCSVM,0.7245136186770428,0.8402527075812274,0.13,2570.0,
RANDOM,0.65,0.7878787878787878,0.13,,
RGCN_GAE,1.0,1.0,0.13,,2.0
RGCN_GAE,1.0,1.0,0.13,,3.0
RGCN_GAE,0.99,0.9949748743718593,0.13,,4.0
RGCN_GAE,0.935,0.9664082687338501,0.13,,5.0
RLP_PUL,0.895,0.9445910290237467,0.13,,
GCN_GAE,0.935,0.9664082687338501,0.13,,
CCRNE,0.775,0.8732394366197183,0.14,200.0,
MCLS,0.755,0.8603988603988604,0.14,200.0,
LP_PUL,0.835,0.9100817438692098,0.14,200.0,
PU_LP,0.75,0.8571428571428571,0.14,148.0,
RCSVM,0.7092198581560284,0.8298755186721992,0.14,2397.0,
RANDOM,0.69,0.8165680473372781,0.14,,
RGCN_GAE,0.975,0.9873417721518988,0.14,,2.0
RGCN_GAE,0.96,0.9795918367346939,0.14,,3.0
RGCN_GAE,0.965,0.9821882951653944,0.14,,4.0
RGCN_GAE,0.92,0.9583333333333334,0.14,,5.0
RLP_PUL,0.935,0.9664082687338501,0.14,,
GCN_GAE,0.975,0.9873417721518988,0.14,,
CCRNE,0.8,0.8888888888888888,0.15,200.0,
MCLS,0.81,0.8950276243093923,0.15,200.0,
LP_PUL,0.825,0.9041095890410958,0.15,200.0,
PU_LP,0.740506329113924,0.850909090909091,0.15,158.0,
RCSVM,0.7214170692431562,0.8381665107577175,0.15,2484.0,
RANDOM,0.715,0.8338192419825073,0.15,,
RGCN_GAE,0.99,0.9949748743718593,0.15,,2.0
RGCN_GAE,0.985,0.9924433249370277,0.15,,3.0
RGCN_GAE,0.98,0.98989898989899,0.15,,4.0
